date,open,high,low,close,volume,pre-close,changeamount,change
2006-01-24,1457.22,1471.2,1446.44,1459.2,906549.0,1457.22,1.98,0.0014
2006-01-25,1456.09,1463.72,1414.45,1430.02,1156780.0,1459.2,-29.18,-0.02
2006-02-06,1433.44,1482.33,1433.44,1482.33,812891.0,1430.02,52.31,0.0366
2006-02-07,1483.45,1485.69,1450.15,1463.92,1026231.0,1482.33,-18.41,-0.0124
2006-02-08,1459.67,1469.49,1446.54,1469.49,609552.0,1463.92,5.57,0.0038
2006-02-09,1470.1,1481.8,1463.44,1465.88,729756.0,1469.49,-3.61,-0.0025
2006-02-10,1468.72,1485.81,1467.04,1485.81,780154.0,1465.88,19.93,0.0136
2006-02-13,1488.59,1511.61,1488.59,1508.13,778499.0,1485.81,22.32,0.015
2006-02-14,1508.67,1529.09,1506.21,1527.94,682076.0,1508.13,19.81,0.0131
2006-02-15,1529.76,1533.5,1513.07,1516.95,730321.0,1527.94,-10.99,-0.0072
2006-02-16,1517.42,1517.8,1461.29,1465.3,953169.0,1516.95,-51.65,-0.034
2006-02-17,1463.23,1473.73,1440.05,1440.05,790989.0,1465.3,-25.25,-0.0172
2006-02-20,1432.93,1436.11,1395.43,1396.42,799557.0,1440.05,-43.63,-0.0303
2006-02-21,1389.61,1434.71,1383.95,1434.71,699578.0,1396.42,38.29,0.0274
2006-02-22,1437.23,1445.28,1423.46,1425.01,669154.0,1434.71,-9.7,-0.0068
2006-02-23,1421.52,1425.8,1400.0,1413.08,597853.0,1425.01,-11.93,-0.0084
2006-02-24,1412.94,1445.91,1412.94,1442.34,666668.0,1413.08,29.26,0.0207
2006-02-27,1444.14,1444.14,1416.23,1423.15,498620.0,1442.34,-19.19,-0.0133
2006-02-28,1421.18,1438.8,1402.16,1438.8,482814.0,1423.15,15.65,0.011
2006-03-01,1439.1,1477.53,1435.53,1472.62,629413.0,1438.8,33.82,0.0235
2006-03-02,1472.09,1472.09,1424.47,1432.5,640209.0,1472.62,-40.12,-0.0272
2006-03-03,1430.02,1440.65,1414.39,1439.12,607480.0,1432.5,6.62,0.0046
2006-03-06,1439.78,1447.48,1429.66,1436.7,446774.0,1439.12,-2.42,-0.0017
2006-03-07,1435.28,1435.28,1389.87,1391.46,509867.0,1436.7,-45.24,-0.0315
2006-03-08,1387.41,1405.07,1377.72,1399.76,398050.0,1391.46,8.3,0.006
2006-03-09,1398.59,1406.91,1391.04,1394.22,409678.0,1399.76,-5.54,-0.004
2006-03-10,1395.39,1404.75,1389.64,1397.12,296558.0,1394.22,2.9,0.0021
