date,open,high,low,close,volume,pre-close,changeamount,change
2010-06-01,986.02,994.79,948.12,973.23,1356285.0,986.02,-12.79,-0.013
2010-06-02,967.61,997.12,952.61,997.12,1074627.0,973.23,23.89,0.0245
2010-06-03,1002.35,1026.7,997.78,998.39,1616805.0,997.12,1.27,0.0013
2010-06-04,989.68,1027.68,986.5,1027.68,1500295.0,998.39,29.29,0.0293
2010-06-07,1005.03,1075.22,1001.7,1069.47,2655275.0,1027.68,41.79,0.0407
2010-06-08,1067.32,1075.5,1050.96,1067.15,1976720.0,1069.47,-2.32,-0.0022
2010-06-09,1070.85,1102.1,1069.43,1077.82,2541568.0,1067.15,10.67,0.01
2010-06-10,1077.68,1119.11,1076.28,1117.48,2197404.0,1077.82,39.66,0.0368
2010-06-11,1122.44,1128.23,1118.71,1122.2,2224874.0,1117.48,4.72,0.0042
2010-06-17,1126.13,1129.69,1064.84,1064.84,1764283.0,1122.2,-57.36,-0.0511
2010-06-18,1052.07,1053.14,993.17,1000.28,1630650.0,1064.84,-64.56,-0.0606
2010-06-21,991.96,1043.16,976.41,1040.8,1574797.0,1000.28,40.52,0.0405
2010-06-22,1037.04,1057.36,1033.65,1034.99,1427162.0,1040.8,-5.81,-0.0056
2010-06-23,1026.86,1056.35,1023.74,1047.34,1257359.0,1034.99,12.35,0.0119
2010-06-24,1046.76,1059.75,1041.54,1050.6,1069132.0,1047.34,3.26,0.0031
2010-06-25,1046.21,1046.21,999.16,1016.28,1237298.0,1050.6,-34.32,-0.0327
2010-06-28,1009.22,1014.41,984.22,987.83,920673.0,1016.28,-28.45,-0.028
2010-06-29,985.57,992.23,912.54,913.31,1497799.0,987.83,-74.52,-0.0754
2010-06-30,898.29,921.81,881.36,919.31,1223661.0,913.31,6.0,0.0066
2010-07-01,914.4,921.21,882.19,882.19,1049572.0,919.31,-37.12,-0.0404
2010-07-02,878.95,885.34,832.62,873.12,1288833.0,882.19,-9.07,-0.0103
2010-07-05,857.37,870.86,842.73,862.27,915864.0,873.12,-10.85,-0.0124
2010-07-06,859.26,898.45,857.8,893.72,1165231.0,862.27,31.45,0.0365
2010-07-07,896.53,908.55,890.34,908.55,1046162.0,893.72,14.83,0.0166
2010-07-08,912.0,914.3,887.03,905.51,1098087.0,908.55,-3.04,-0.0033
2010-07-09,903.5,936.53,896.89,932.15,1451460.0,905.51,26.64,0.0294
2010-07-12,931.53,941.07,924.06,930.17,1263617.0,932.15,-1.98,-0.0021
2010-07-13,924.95,936.64,906.3,931.08,1468657.0,930.17,0.91,0.001
2010-07-14,929.75,937.93,916.07,922.36,1423586.0,931.08,-8.72,-0.0094
2010-07-15,920.05,930.55,892.56,892.56,1175880.0,922.36,-29.8,-0.0323
2010-07-16,885.07,895.06,869.02,892.3,1009312.0,892.56,-0.26,-0.0003
