date,open,high,low,close,volume,pre-close,changeamount,change
2005-01-04,996.68,996.68,984.8,986.93,2323762.0,996.68,-9.75,-0.0098
2005-01-05,986.57,1008.86,985.68,1003.63,3486101.0,986.93,16.7,0.0169
2005-01-06,1003.49,1003.49,990.79,994.6,2933905.0,1003.63,-9.03,-0.009
2005-01-07,993.43,1009.0,990.45,997.61,3391626.0,994.6,3.01,0.003
2005-01-10,996.93,1006.46,993.12,1006.34,2949405.0,997.61,8.73,0.0088
2005-01-11,1006.21,1009.5,999.86,1008.34,3136115.0,1006.34,2.0,0.002
2005-01-12,1008.01,1008.74,998.36,1008.62,3196393.0,1008.34,0.28,0.0003
2005-01-13,1008.1,1014.84,1005.35,1013.07,4715733.0,1008.62,4.45,0.0044
2005-01-14,1012.7,1019.48,999.27,1000.17,4016937.0,1013.07,-12.9,-0.0127
2005-01-17,990.99,991.02,974.33,977.52,4358603.0,1000.17,-22.65,-0.0226
2005-01-18,977.6,991.84,974.15,991.42,4516132.0,977.52,13.9,0.0142
2005-01-19,991.29,991.29,981.23,986.24,4255249.0,991.42,-5.18,-0.0052
2005-01-20,983.2,983.2,966.89,972.46,4652048.0,986.24,-13.78,-0.014
2005-01-21,971.5,989.72,951.43,988.52,6185255.0,972.46,16.06,0.0165
2005-01-24,1009.95,1009.95,998.37,1008.18,7323355.0,988.52,19.66,0.0199
2005-01-25,1006.0,1006.0,989.95,999.55,4694803.0,1008.18,-8.63,-0.0086
2005-01-26,997.64,997.64,985.67,987.96,4113900.0,999.55,-11.59,-0.0116
2005-01-27,986.15,986.15,970.35,971.37,4123213.0,987.96,-16.59,-0.0168
2005-01-28,971.37,971.94,949.11,952.41,4072373.0,971.37,-18.96,-0.0195
2005-01-31,948.44,948.44,921.58,922.65,4095099.0,952.41,-29.76,-0.0312
2005-02-01,919.8,929.69,911.93,913.33,4199745.0,922.65,-9.32,-0.0101
2005-02-02,913.03,964.42,913.03,964.24,6553566.0,913.33,50.91,0.0557
2005-02-03,963.75,967.94,944.76,945.31,6371300.0,964.24,-18.93,-0.0196
2005-02-04,944.45,963.81,943.47,962.03,5193013.0,945.31,16.72,0.0177
2005-02-16,967.43,979.3,965.94,972.34,4693322.0,962.03,10.31,0.0107
2005-02-17,971.84,977.44,964.32,977.27,4031958.0,972.34,4.93,0.0051
2005-02-18,977.12,977.12,964.55,964.77,4112811.0,977.27,-12.5,-0.0128
2005-02-21,965.0,981.89,964.47,981.82,4765203.0,964.77,17.05,0.0177
2005-02-22,982.42,1008.67,980.51,1007.69,9575789.0,981.82,25.87,0.0263
2005-02-23,1008.29,1023.33,1002.8,1019.26,10201823.0,1007.69,11.57,0.0115
2005-02-24,1018.29,1024.87,1012.45,1024.45,8683232.0,1019.26,5.19,0.0051
2005-02-25,1024.57,1035.47,1023.74,1024.12,9650761.0,1024.45,-0.33,-0.0003
2005-02-28,1023.19,1026.04,1014.94,1020.85,7028051.0,1024.12,-3.27,-0.0032
2005-03-01,1020.6,1023.96,1011.56,1021.16,6675636.0,1020.85,0.31,0.0003
2005-03-02,1021.36,1028.33,1005.34,1006.15,7457971.0,1021.16,-15.01,-0.0147
2005-03-03,1004.1,1011.7,996.36,1011.29,5372494.0,1006.15,5.14,0.0051
2005-03-04,1011.2,1012.67,1001.85,1003.21,4525189.0,1011.29,-8.08,-0.008
2005-03-07,1004.34,1008.36,1001.86,1006.95,4475140.0,1003.21,3.74,0.0037
2005-03-08,1007.68,1029.46,1007.68,1029.46,7187007.0,1006.95,22.51,0.0224
