date,open,high,low,close,volume,pre-close,changeamount,change
2019-12-31,1000.0,1000.0,1000.0,1000.0,1516205.0,1000.0,0.0,0.0
2020-01-02,1005.62,1019.91,1005.62,1019.72,2193852.0,1000.0,19.72,0.0197
2020-01-03,1021.67,1029.07,1018.68,1024.48,2160583.0,1019.72,4.76,0.0047
2020-01-06,1020.0,1040.14,1020.0,1027.28,2663011.0,1024.48,2.8,0.0027
2020-01-07,1025.66,1043.08,1019.86,1043.08,2675921.0,1027.28,15.8,0.0154
2020-01-08,1035.84,1059.44,1034.51,1051.16,3207626.0,1043.08,8.08,0.0077
2020-01-09,1060.58,1081.4,1060.58,1078.31,2843420.0,1051.16,27.15,0.0258
2020-01-10,1082.31,1088.54,1076.44,1076.44,2515474.0,1078.31,-1.87,-0.0017
2020-01-13,1076.76,1105.85,1069.78,1105.85,2466259.0,1076.44,29.41,0.0273
2020-01-14,1107.78,1133.9,1107.78,1118.31,3262463.0,1105.85,12.46,0.0113
2020-01-15,1113.25,1120.35,1105.58,1114.77,2420464.0,1118.31,-3.54,-0.0032
2020-01-16,1116.51,1161.48,1116.51,1154.3,3085287.0,1114.77,39.53,0.0355
2020-01-17,1159.37,1252.56,1159.37,1238.66,5873596.0,1154.3,84.36,0.0731
2020-01-20,1239.44,1270.36,1208.69,1240.51,5202591.0,1238.66,1.85,0.0015
2020-01-21,1233.65,1247.84,1194.8,1195.01,4206788.0,1240.51,-45.5,-0.0367
2020-01-22,1178.78,1247.61,1157.29,1244.53,4794740.0,1195.01,49.52,0.0414
2020-01-23,1219.23,1262.44,1177.09,1202.1,4425934.0,1244.53,-42.43,-0.0341
2020-02-03,1018.28,1082.79,1015.6,1030.55,5466543.0,1202.1,-171.55,-0.1427
2020-02-04,1049.96,1153.23,1049.96,1153.23,5286206.0,1030.55,122.68,0.119
2020-02-05,1166.97,1240.37,1166.97,1203.61,5860213.0,1153.23,50.38,0.0437
2020-02-06,1191.73,1251.84,1191.73,1238.76,5589981.0,1203.61,35.15,0.0292
2020-02-07,1240.04,1307.76,1234.23,1307.76,5664784.0,1238.76,69.0,0.0557
2020-02-10,1310.53,1336.53,1293.43,1322.25,5932906.0,1307.76,14.49,0.0111
2020-02-11,1318.42,1318.42,1266.21,1283.57,5037530.0,1322.25,-38.68,-0.0293
2020-02-12,1274.8,1360.55,1274.8,1348.7,4763905.0,1283.57,65.13,0.0507
2020-02-13,1360.13,1409.68,1353.05,1360.71,6144055.0,1348.7,12.01,0.0089
2020-02-14,1359.37,1382.96,1305.97,1327.22,5310166.0,1360.71,-33.49,-0.0246
2020-02-17,1332.97,1381.55,1332.97,1381.55,4969888.0,1327.22,54.33,0.0409
2020-02-18,1381.58,1404.71,1372.53,1399.38,4905608.0,1381.55,17.83,0.0129
2020-02-19,1398.78,1412.17,1373.44,1373.44,4783190.0,1399.38,-25.94,-0.0185
2020-02-20,1377.76,1390.02,1321.73,1348.34,4222266.0,1373.44,-25.1,-0.0183
2020-02-21,1337.56,1373.67,1337.56,1346.86,4475454.0,1348.34,-1.48,-0.0011
2020-02-24,1341.99,1359.23,1328.75,1351.71,4199988.0,1346.86,4.85,0.0036
2020-02-25,1312.48,1371.58,1312.48,1367.37,4611598.0,1351.71,15.66,0.0116
2020-02-26,1348.08,1361.01,1286.35,1288.24,5015814.0,1367.37,-79.13,-0.0579
2020-02-27,1293.19,1293.19,1251.45,1264.94,5032823.0,1288.24,-23.3,-0.0181
2020-02-28,1206.86,1231.09,1187.1,1191.06,5132083.0,1264.94,-73.88,-0.0584
2020-03-02,1202.96,1259.08,1194.94,1252.62,4979736.0,1191.06,61.56,0.0517
2020-03-03,1278.27,1332.84,1272.06,1285.03,5122939.0,1252.62,32.41,0.0259
2020-03-04,1268.83,1277.69,1226.8,1255.72,3819524.0,1285.03,-29.31,-0.0228
2020-03-05,1277.71,1277.71,1246.71,1264.79,4312615.0,1255.72,9.07,0.0072
2020-03-06,1246.1,1255.07,1237.62,1243.37,3261213.0,1264.79,-21.42,-0.0169
2020-03-09,1216.04,1223.25,1171.86,1171.86,3872702.0,1243.37,-71.51,-0.0575
2020-03-10,1148.4,1216.33,1135.21,1216.33,4064920.0,1171.86,44.47,0.0379
2020-03-11,1218.52,1233.43,1184.71,1184.71,4248509.0,1216.33,-31.62,-0.026
2020-03-12,1161.92,1177.36,1151.79,1167.07,2805383.0,1184.71,-17.64,-0.0149
