date,open,high,low,close,volume,pre-close,changeamount,change
1991-04-03,988.05,988.05,988.05,988.05,1.0,988.05,0.0,0.0
1991-04-04,983.11,983.11,983.11,983.11,523.0,988.05,-4.94,-0.005
1991-04-05,978.27,978.27,978.27,978.27,107.0,983.11,-4.84,-0.0049
1991-04-06,973.42,973.42,973.42,973.42,102.0,978.27,-4.85,-0.005
1991-04-08,968.57,968.57,968.57,968.57,57.0,973.42,-4.85,-0.005
1991-04-09,963.73,963.73,963.73,963.73,19.0,968.57,-4.84,-0.005
1991-04-10,958.88,958.88,958.88,958.88,45.0,963.73,-4.85,-0.005
1991-04-11,954.03,954.03,954.03,954.03,45.0,958.88,-4.85,-0.0051
1991-04-12,949.31,949.31,949.31,949.31,68.0,954.03,-4.72,-0.0049
1991-04-13,944.58,944.58,944.58,944.58,30.0,949.31,-4.73,-0.005
1991-04-15,939.98,939.98,939.98,939.98,50.0,944.58,-4.6,-0.0049
1991-04-16,935.38,935.38,935.38,935.38,22.0,939.98,-4.6,-0.0049
1991-04-17,930.78,930.78,930.78,930.78,21.0,935.38,-4.6,-0.0049
1991-04-18,926.18,926.18,926.18,926.18,14.0,930.78,-4.6,-0.0049
1991-04-19,921.58,921.58,921.58,921.58,17.0,926.18,-4.6,-0.005
1991-04-20,916.98,916.98,916.98,916.98,5.0,921.58,-4.6,-0.005
1991-04-22,912.38,912.38,912.38,912.38,1.0,916.98,-4.6,-0.005
1991-04-23,907.78,907.78,907.78,907.78,48.0,912.38,-4.6,-0.005
1991-04-24,903.31,903.31,903.31,903.31,46.0,907.78,-4.47,-0.0049
1991-04-25,898.84,898.84,898.84,898.84,50.0,903.31,-4.47,-0.0049
1991-04-26,894.36,894.36,894.36,894.36,53.0,898.84,-4.48,-0.005
1991-04-27,889.89,889.89,889.89,889.89,20.0,894.36,-4.47,-0.005
1991-04-29,885.43,885.43,885.43,885.43,49.0,889.89,-4.46,-0.005
1991-04-30,880.98,880.98,880.98,880.98,142.0,885.43,-4.45,-0.005
1991-05-02,876.57,876.57,876.57,876.57,72.0,880.98,-4.41,-0.005
1991-05-03,872.16,872.16,872.16,872.16,78.0,876.57,-4.41,-0.005
1991-05-04,867.75,867.75,867.75,867.75,162.0,872.16,-4.41,-0.0051
1991-05-06,863.35,863.35,863.35,863.35,124.0,867.75,-4.4,-0.0051
1991-05-07,859.06,859.06,859.06,859.06,102.0,863.35,-4.29,-0.005
1991-05-08,854.78,854.78,854.78,854.78,309.0,859.06,-4.28,-0.005
1991-05-09,850.5,850.5,850.5,850.5,450.0,854.78,-4.28,-0.005
1991-05-10,846.22,846.22,846.22,846.22,700.0,850.5,-4.28,-0.005
1991-05-11,841.94,841.94,841.94,841.94,686.0,846.22,-4.28,-0.0051
1991-05-13,837.66,837.66,837.66,837.66,1554.0,841.94,-4.28,-0.0051
1991-05-14,834.44,835.01,833.38,835.01,3160.0,837.66,-2.65,-0.0032
1991-05-15,832.36,832.54,832.36,832.54,3957.0,835.01,-2.47,-0.003
1991-05-16,830.06,830.06,830.06,830.06,5918.0,832.54,-2.48,-0.003
