,symbol,name,open,high,low,close,volume,pre-close,aggregateMarketValue,circulationMarketValue,changeamount,change,date
0,sz301502,N华阳智,60.0,65.88,55.3,59.97,10767500.0,28.01,3423297495.0,811520157.0,31.96,1.141,2024-02-02
1,bj833454,同心传动,6.57,8.55,6.29,8.55,11978400.0,6.58,898605000.0,512934806.0,1.97,0.2994,2024-02-02
2,sz301469,恒达新材,24.69,28.8,24.69,28.8,5929600.0,24.0,2577024000.0,598173235.0,4.8,0.2,2024-02-02
3,sz300997,欢乐家,12.1,13.97,11.88,13.45,25173300.0,11.64,6018875000.0,1176875000.0,1.81,0.1555,2024-02-02
4,sz000759,中百集团,3.82,3.82,3.64,3.82,28442200.0,3.47,2599974130.0,2504797016.0,0.35,0.1009,2024-02-02
5,sz002400,省广集团,4.78,5.03,4.69,5.03,184358400.0,4.57,8768985754.0,8421206534.0,0.46,0.1007,2024-02-02
6,sz002033,丽江股份,8.25,8.97,8.21,8.97,71302700.0,8.15,4928931678.0,4928837224.0,0.82,0.1006,2024-02-02
7,sh600272,开开实业,10.0,10.84,10.0,10.84,35790000.0,9.85,2634120000.0,1734400000.0,0.99,0.1005,2024-02-02
8,sh600639,浦东金桥,13.3,15.14,13.3,15.14,99788900.0,13.76,16993331200.0,12872583683.0,1.38,0.1003,2024-02-02
9,sh603960,克来机电,14.38,14.38,13.94,14.38,17752800.0,13.07,3782781230.0,3761803686.0,1.31,0.1002,2024-02-02
10,sz000020,深华发Ａ,13.88,15.04,13.0,15.04,26250900.0,13.67,4258744854.0,2724727481.0,1.37,0.1002,2024-02-02
11,sh603682,锦和商管,4.99,5.49,4.96,5.49,12898900.0,4.99,2594025000.0,2594025000.0,0.5,0.1002,2024-02-02
12,sh600446,金证股份,10.76,11.97,10.54,11.97,64469300.0,10.88,11312667510.0,11312667510.0,1.09,0.1002,2024-02-02
13,sh605218,伟时电子,17.11,18.57,17.11,18.57,3095000.0,16.88,3952317352.0,3952317352.0,1.69,0.1001,2024-02-02
14,sz003042,中农联合,16.78,19.45,16.78,19.45,19390900.0,17.68,2771236000.0,1324773440.0,1.77,0.1001,2024-02-02
15,sh603958,哈森股份,12.65,12.65,12.65,12.65,2987100.0,11.5,2796915000.0,2774904000.0,1.15,0.1,2024-02-02
16,sh603767,中马传动,17.6,17.71,14.73,17.71,55847000.0,16.1,5465863865.0,5465863865.0,1.61,0.1,2024-02-02
17,sh600551,时代出版,9.77,10.89,9.77,10.89,27335500.0,9.9,5274301112.0,5274301112.0,0.99,0.1,2024-02-02
18,sh603032,德新科技,15.29,16.73,14.08,16.73,16453300.0,15.21,3939182226.0,3816380680.0,1.52,0.0999,2024-02-02
19,sz001318,阳光乳业,10.82,11.89,10.82,11.89,14230700.0,10.81,3360827400.0,916243400.0,1.08,0.0999,2024-02-02
20,sz000029,深深房Ａ,10.22,11.13,10.15,11.13,8573100.0,10.12,11259775800.0,9924175800.0,1.01,0.0998,2024-02-02
21,sh603901,永创智能,8.24,9.04,7.74,9.04,12064900.0,8.22,4410637578.0,4360358002.0,0.82,0.0998,2024-02-02
