,symbol,name,open,high,low,close,volume,pre-close,aggregateMarketValue,circulationMarketValue,changeamount,change,date
0,bj839946,华阳变速,4.51,5.82,4.5,5.82,27263800.0,4.48,785644378.0,579963000.0,1.34,0.2991,2024-02-21
1,sz300282,*ST三盛,1.48,1.72,1.48,1.72,42861700.0,1.43,643807103.0,643807103.0,0.29,0.2028,2024-02-21
2,sz300157,新锦动力,2.16,2.62,2.12,2.62,26772000.0,2.18,1901041233.0,1827177931.0,0.44,0.2018,2024-02-21
3,sz300152,新动力,1.79,2.15,1.76,2.15,42816300.0,1.79,1532520000.0,1531677415.0,0.36,0.2011,2024-02-21
4,sz300032,金龙机电,3.61,4.37,3.58,4.37,23972500.0,3.64,3509851187.0,3509844632.0,0.73,0.2005,2024-02-21
5,sz301072,中捷精工,15.01,18.28,15.0,18.28,3281700.0,15.23,1920401744.0,609725744.0,3.05,0.2003,2024-02-21
6,sz301306,西测测试,30.0,35.02,29.18,35.02,8778300.0,29.18,2955688000.0,1375585600.0,5.84,0.2001,2024-02-21
7,sz301318,维海德,33.16,35.88,31.99,35.88,11833100.0,29.9,3735753840.0,1553845365.0,5.98,0.2,2024-02-21
8,sz300935,盈建科,15.97,19.32,15.97,19.32,2016500.0,16.1,1534600738.0,865856345.0,3.22,0.2,2024-02-21
9,sz300781,因赛集团,42.42,42.42,41.73,42.42,12851500.0,35.35,4664918577.0,3440439528.0,7.07,0.2,2024-02-21
10,sz300117,嘉寓股份,1.33,1.62,1.32,1.62,63491800.0,1.35,1161151200.0,1161151200.0,0.27,0.2,2024-02-21
11,sz301107,瑜欣电子,20.0,24.01,19.94,24.01,4032600.0,20.01,1762334000.0,503697387.0,4.0,0.1999,2024-02-21
12,sz300530,领湃科技,13.98,16.52,13.7,16.52,6717000.0,13.77,2840636368.0,2616611886.0,2.75,0.1997,2024-02-21
13,sz300780,德恩精工,12.25,15.08,12.18,15.08,7039000.0,12.57,2211783600.0,1556364184.0,2.51,0.1997,2024-02-21
